,0
0,Afghanistan
1,Albania
2,Algeria
3,Andorra
4,Angola
5,Antigua and Barbuda
6,Argentina
7,Armenia
8,Australia
9,Austria
10,Azerbaijan
11,Bahamas
12,Bahrain
13,Bangladesh
14,Barbados
15,Belarus
16,Belgium
17,Belize
18,Benin
19,Bhutan
20,Bolivia
21,Bosnia and Herzegovina
22,Botswana
23,Brazil
24,Brunei
25,Bulgaria
26,Burkina Faso
27,Burma
28,Burundi
29,Cabo Verde
30,Cambodia
31,Cameroon
32,Canada
33,Central African Republic
34,Chad
35,Chile
36,China
37,Colombia
38,Comoros
39,Congo (Brazzaville)
40,Congo (Kinshasa)
41,Costa Rica
42,Cote d'Ivoire
43,Croatia
44,Cuba
45,Cyprus
46,Czechia
47,Denmark
48,Diamond Princess
49,Djibouti
50,Dominica
51,Dominican Republic
52,Ecuador
53,Egypt
54,El Salvador
55,Equatorial Guinea
56,Eritrea
57,Estonia
58,Eswatini
59,Ethiopia
60,Fiji
61,Finland
62,France
63,Gabon
64,Gambia
65,Georgia
66,Germany
67,Ghana
68,Greece
69,Grenada
70,Guatemala
71,Guinea
72,Guinea-Bissau
73,Guyana
74,Haiti
75,Holy See
76,Honduras
77,Hungary
78,Iceland
79,India
80,Indonesia
81,Iran
82,Iraq
83,Ireland
84,Israel
85,Italy
86,Jamaica
87,Japan
88,Jordan
89,Kazakhstan
90,Kenya
91,"Korea, South"
92,Kosovo
93,Kuwait
94,Kyrgyzstan
95,Laos
96,Latvia
97,Lebanon
98,Lesotho
99,Liberia
100,Libya
101,Liechtenstein
102,Lithuania
103,Luxembourg
104,MS Zaandam
105,Madagascar
106,Malawi
107,Malaysia
108,Maldives
109,Mali
110,Malta
111,Mauritania
112,Mauritius
113,Mexico
114,Moldova
115,Monaco
116,Mongolia
117,Montenegro
118,Morocco
119,Mozambique
120,Namibia
121,Nepal
122,Netherlands
123,New Zealand
124,Nicaragua
125,Niger
126,Nigeria
127,North Macedonia
128,Norway
129,Oman
130,Pakistan
131,Panama
132,Papua New Guinea
133,Paraguay
134,Peru
135,Philippines
136,Poland
137,Portugal
138,Qatar
139,Romania
140,Russia
141,Rwanda
142,Saint Kitts and Nevis
143,Saint Lucia
144,Saint Vincent and the Grenadines
145,San Marino
146,Sao Tome and Principe
147,Saudi Arabia
148,Senegal
149,Serbia
150,Seychelles
151,Sierra Leone
152,Singapore
153,Slovakia
154,Slovenia
155,Somalia
156,South Africa
157,South Sudan
158,Spain
159,Sri Lanka
160,Sudan
161,Suriname
162,Sweden
163,Switzerland
164,Syria
165,Taiwan*
166,Tajikistan
167,Tanzania
168,Thailand
169,Timor-Leste
170,Togo
171,Trinidad and Tobago
172,Tunisia
173,Turkey
174,US
175,Uganda
176,Ukraine
177,United Arab Emirates
178,United Kingdom
179,Uruguay
180,Uzbekistan
181,Venezuela
182,Vietnam
183,West Bank and Gaza
184,Western Sahara
185,Yemen
186,Zambia
187,Zimbabwe
